,industry_code,total_wages_before,quarter,total_wages_after,wage_change
1427,Power and Communication Line and Related Structure...,28175.91489361702,2,47952.34042553192,-19776.425531914898
1428,"Power, Distribution, and Specialty Transformer Mfg...",39863.08,2,53533.36,-13670.279999999999
1429,Precision Turned Product Mfg ,24768.46153846154,2,29303.615384615383,-4535.153846153844
1430,Prefabricated Metal Building and Component Mfg ,18647.166666666668,2,37510.13888888889,-18862.972222222223
1431,Prefabricated Wood Building Mfg ,17086.764705882353,2,29988.529411764706,-12901.764705882353
1432,Printed Circuit Assembly (Electronic Assembly) Mfg...,16355.615384615385,2,31335.46153846154,-14979.846153846154
1433,Printing Ink Mfg,21056.333333333332,2,41951.833333333336,-20895.500000000004
1434,Printing and Writing Paper Merchant Wholesalers ,36043.0,2,80365.66666666667,-44322.66666666667
1435,Private Households,16243.603773584906,2,21500.924528301886,-5257.32075471698
1436,Private Mail Centers ,8628.166666666666,2,19552.833333333332,-10924.666666666666
1437,"Process, Physical Distribution, and Logistics Cons...",22563.690476190477,2,39644.9126984127,-17081.222222222223
1438,Professional Employer Organizations,20010.194081475787,2,32064.82782475019,-12054.633743274404
1439,Professional Organizations ,46476.72727272727,2,48348.77272727273,-1872.0454545454559
1440,Professional and Management Development Training ,24919.36842105263,2,54414.78947368421,-29495.421052631584
1441,"Promoters of Performing Arts, Sports, and Similar ...",11172.609756097561,2,23061.951219512193,-11889.341463414632
1442,"Promoters of Performing Arts, Sports, and Similar ...",14198.894736842105,2,16980.78947368421,-2781.894736842105
1443,Psychiatric and Substance Abuse Hospitals ,20269.0,2,32772.91176470588,-12503.911764705881
1444,Public Finance Activities ,20599.939393939392,2,31207.848484848484,-10607.909090909092
1445,Public Relations Agencies,25008.4,2,31879.0,-6870.5999999999985
1446,Pulp Mills ,30459.428571428572,2,51066.0,-20606.571428571428
1447,RV (Recreational Vehicle) Parks and Campgrounds ,5702.625,2,11409.0,-5706.375
1448,Racetracks ,6011.666666666667,2,22011.833333333332,-16000.166666666664
1449,Radio Broadcasting Stations ,27047.333333333332,2,33410.5,-6363.166666666668
1450,Radio and Television Broadcasting and Wireless Com...,54575.09090909091,2,79720.81818181818,-25145.727272727265
1451,Ready-Mix Concrete Mfg,19464.28787878788,2,32383.469696969696,-12919.181818181816
1452,Real Estate Credit ,31629.22891566265,2,41361.180722891564,-9731.951807228914
1453,Reconstituted Wood Product Mfg ,37398.5,2,41009.833333333336,-3611.3333333333358
1454,Recreational Goods Rental ,5932.0,2,11195.0,-5263.0
1455,Recreational Vehicle Dealers ,27197.166666666668,2,28449.791666666668,-1252.625
1456,Recreational and Vacation Camps (except Campground...,12758.2,2,17447.3,-4689.0999999999985
1457,Recyclable Material Merchant Wholesalers ,19697.45205479452,2,31563.013698630137,-11865.561643835616
1458,Refrigerated Warehousing and Storage,21260.776119402984,2,32411.17910447761,-11150.402985074626
1459,Refrigeration Equipment and Supplies Merchant Whol...,22422.75,2,42795.392857142855,-20372.642857142855
1460,Regulation and Administration of Trans Programs ,17693.935064935064,2,35481.857142857145,-17787.92207792208
1461,Regulation of Agricultural Marketing and Commoditi...,12339.125,2,20258.0,-7918.875
1462,"Regulation, Licensing, and Inspection of Miscellan...",18699.071428571428,2,32383.714285714286,-13684.642857142859
1463,Reinsurance Carriers ,12373.272727272728,2,36084.454545454544,-23711.181818181816
1464,Religious Organizations ,27602.785714285714,2,27623.071428571428,-20.285714285713766
1465,Remediation Services ,26821.560975609755,2,48071.34146341463,-21249.780487804877
1466,Rendering and Meat Byproduct Processing ,23116.666666666668,2,52602.0,-29485.333333333332
1467,Repossession Services ,18498.1,2,31992.8,-13494.7
1468,Research and Development in Biotechnology (except ...,39391.95,2,56476.3875,-17084.4375
1469,"Research and Development in the Physical, Engineer...",29612.81818181818,2,50670.347107438014,-21057.528925619834
1470,Research and Development in the Social Sciences an...,16835.470588235294,2,29548.235294117647,-12712.764705882353
1471,Residential Intellectual and Developmental Disabil...,10373.355555555556,2,24585.266666666666,-14211.91111111111
1472,Residential Mental Health and Substance Abuse Faci...,17428.52727272727,2,30364.31818181818,-12935.790909090909
1473,Residential Property Managers ,22473.466216216217,2,33795.50675675676,-11322.040540540544
1474,Residential Remodelers ,19952.9375,2,39283.59821428572,-19330.660714285717
1475,Retail Bakeries ,12492.5,2,19820.65,-7328.1500000000015
1476,Reupholstery and Furniture Repair,13870.0,2,23853.714285714286,-9983.714285714286
1477,Roasted Nuts and Peanut Butter Mfg ,22056.45238095238,2,38830.119047619046,-16773.666666666664
1478,Roofing Contractors ,17853.56140350877,2,33424.9649122807,-15571.403508771931
1479,"Roofing, Siding, and Insulation Material Merchant ...",31127.352941176472,2,55471.882352941175,-24344.529411764703
1480,"Rooming and Boarding Houses, Dormitories, and Work...",20733.8,2,29308.4,-8574.600000000002
1481,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric M...",18615.0,2,35932.8,-17317.800000000003
1482,Rubber Product Mfg for Mechanical Use ,19085.647058823528,2,31357.647058823528,-12272.0
1483,Rubber and Plastics Hoses and Belting Mfg,17172.777777777777,2,39502.944444444445,-22330.166666666668
1484,Sales Financing ,26421.5,2,37849.65853658537,-11428.158536585368
1485,Sanitary Paper Product Mfg ,23004.183333333334,2,37979.816666666666,-14975.633333333331
1486,Saw Blade and Handtool Mfg ,24125.333333333332,2,25339.666666666668,-1214.3333333333358
1487,"Sawmill, Woodworking, and Paper Machinery Mfg ",15804.5,2,31815.875,-16011.375
1488,Sawmills ,21871.091836734693,2,36064.84693877551,-14193.755102040817
1489,"Scenic and Sightseeing Trans, Land",9991.42857142857,2,11240.857142857143,-1249.4285714285725
1490,"Scenic and Sightseeing Trans, Water",15282.6,2,31743.2,-16460.6
1491,Scheduled Freight Air Trans ,12168.25,2,27356.75,-15188.5
1492,Scheduled Passenger Air Trans ,18944.051233396585,2,29569.417457305502,-10625.366223908917
1493,School and Employee Bus Trans,11612.95652173913,2,18759.434782608696,-7146.478260869566
1494,Seafood Product Preparation and Packaging,19387.88888888889,2,43136.166666666664,-23748.277777777774
1495,"Search, Detection, Navigation, Guidance, Aeronauti...",25409.5,2,74579.25,-49169.75
1496,"Secondary Smelting, Refining, and Alloying of Nonf...",23854.75,2,47687.75,-23833.0
1497,Securities and Commodity Exchanges,20359.333333333332,2,64896.333333333336,-44537.0
1498,Security Guards and Patrol Services ,12740.87513007284,2,21012.721123829346,-8271.845993756506
1499,Security Systems Services (except Locksmiths) ,22651.892156862745,2,35111.55882352941,-12459.666666666668
1500,Semiconductor and Related Device Mfg ,133588.66666666666,2,77535.66666666667,56052.999999999985
1501,Septic Tank and Related Services ,14776.583333333334,2,27788.916666666668,-13012.333333333334
1502,Service Establishment Equipment and Supplies Merch...,22898.25,2,39194.75,-16296.5
1503,Services for the Elderly and Persons with Disabili...,10917.383495145632,2,18948.60355987055,-8031.220064724917
1504,"Sewing, Needlework, and Piece Goods Retailers ",22935.75,2,17105.5,5830.25
1505,Sheet Metal Work Mfg ,21762.0,2,35996.981132075474,-14234.981132075474
1506,Ship Building and Repairing ,19336.666666666668,2,18704.0,632.6666666666679
1507,Shoe Retailers ,13207.703296703297,2,24989.978021978022,-11782.274725274725
1508,"Showcase, Partition, Shelving, and Locker Mfg ",27320.166666666668,2,36321.566666666666,-9001.399999999998
1509,Siding Contractors ,13652.172413793103,2,24800.275862068964,-11148.10344827586
1510,Sign Mfg,15316.95652173913,2,24923.869565217392,-9606.913043478262
1511,Site Preparation Contractors,20956.468085106382,2,33570.05673758865,-12613.58865248227
1512,"Small Arms, Ordnance, and Ordnance Accessories Mfg...",36886.15789473684,2,53267.05263157895,-16380.894736842107
1513,Snack and Nonalcoholic Beverage Bars ,12152.913223140496,2,18730.04132231405,-6577.128099173553
1514,Soap and Other Detergent Mfg ,16459.5,2,34527.8,-18068.300000000003
1515,Soft Drink Mfg ,28523.27027027027,2,31860.027027027027,-3336.7567567567567
1516,Software Publishers,38220.345714285715,2,67728.40285714286,-29508.05714285715
1517,Softwood Veneer and Plywood Mfg ,12135.0,2,20449.333333333332,-8314.333333333332
1518,Solar Electric Power Generation ,28465.0,2,36883.833333333336,-8418.833333333336
1519,Solid Waste Collection ,21199.303278688523,2,33494.82786885246,-12295.524590163935
1520,Solid Waste Landfill ,11903.75,2,51620.125,-39716.375
1521,Sound Recording Studios,31927.666666666668,2,37520.333333333336,-5592.666666666668
1522,Soybean and Other Oilseed Processing ,27674.0,2,51136.0,-23462.0
1523,"Special Die and Tool, Die Set, Jig, and Fixture Mf...",19398.23076923077,2,32997.92307692308,-13599.692307692309
1524,Special Needs Trans ,13171.535714285714,2,18433.410714285714,-5261.875
1525,Specialized Automotive Repair ,16994.81818181818,2,29806.18181818182,-12811.36363636364
1526,"Specialized Freight (except Used Goods) Trucking, ...",18255.916666666668,2,34549.302083333336,-16293.385416666668
1527,"Specialized Freight (except Used Goods) Trucking, ...",18570.781954887218,2,37139.02255639098,-18568.24060150376
1528,Specialty (except Psychiatric and Substance Abuse)...,16767.108108108107,2,45057.13513513513,-28290.027027027027
1529,"Speed Changer, Industrial High-Speed Drive, and Ge...",9188.5,2,23048.833333333332,-13860.333333333332
1530,Spice and Extract Mfg ,21257.44827586207,2,40528.03448275862,-19270.586206896554
1531,Sporting Goods Retailers ,16665.427586206897,2,21325.510344827588,-4660.082758620691
1532,Sporting and Athletic Goods Mfg,16809.666666666668,2,30413.666666666668,-13604.0
1533,Sporting and Recreational Goods and Supplies Merch...,16181.416666666666,2,34709.541666666664,-18528.125
1534,Sports Teams and Clubs ,21322.121212121212,2,27060.909090909092,-5738.78787878788
1535,Sports and Recreation Instruction ,21385.380952380954,2,21851.52380952381,-466.14285714285506
1536,Stationery Product Mfg,23156.53846153846,2,44183.769230769234,-21027.230769230773
1537,Stationery and Office Supplies Merchant Wholesaler...,18928.428571428572,2,33864.36734693877,-14935.9387755102
1538,Structural Steel and Precast Concrete Contractors ,25405.620689655174,2,30734.758620689656,-5329.137931034482
1539,Supermarkets and Other Grocery Retailers (except C...,11112.894060995184,2,16621.681380417336,-5508.787319422152
1540,Support Activities for Animal Production,14627.833333333334,2,16554.833333333332,-1926.9999999999982
1541,Support Activities for Nonmetallic Minerals (excep...,13822.6,2,31462.4,-17639.800000000003
1542,Support Activities for Oil and Gas Operations ,30031.6,2,29694.0,337.59999999999854
1543,Support Activities for Printing,17530.909090909092,2,20589.090909090908,-3058.181818181816
1544,Support Activities for Rail Trans,15802.045454545454,2,26646.136363636364,-10844.09090909091
1545,Surgical Appliance and Supplies Mfg ,31243.055555555555,2,69824.46296296296,-38581.40740740741
1546,Surgical and Medical Instrument Mfg ,32161.571428571428,2,49837.76190476191,-17676.19047619048
1547,Surveying and Mapping (except Geophysical) Service...,19999.25,2,36640.0,-16640.75
1548,Switchgear and Switchboard Apparatus Mfg ,31335.944444444445,2,44975.38888888889,-13639.444444444445
1549,Synthetic Dye and Pigment Mfg,20975.923076923078,2,40725.46153846154,-19749.53846153846
1550,Synthetic Rubber Mfg ,49514.666666666664,2,62128.0,-12613.333333333336
1551,Tax Preparation Services ,15075.575875486382,2,17288.494163424126,-2212.918287937744
1552,Taxi and Ridesharing Services ,19707.75,2,34390.0,-14682.25
1553,Telecommunications Resellers,38438.53333333333,2,54995.0,-16556.466666666667
1554,Telemarketing Bureaus and Other Contact Centers ,10356.374689826303,2,18039.049627791563,-7682.674937965259
1555,Telephone Answering Services ,13360.674074074073,2,20754.133333333335,-7393.459259259262
1556,Teleproduction and Other Postproduction Services ,15763.75,2,23988.75,-8225.0
1557,Television Broadcasting Stations,40761.86956521739,2,69936.34782608696,-29174.478260869568
1558,Temporary Help Services,15336.287492285537,2,26860.096893643284,-11523.809401357747
1559,Temporary Shelters ,12367.888888888889,2,20580.85185185185,-8212.962962962962
1560,Testing Laboratories and Services,23196.37837837838,2,48658.72972972973,-25462.351351351346
1561,Textile Bag and Canvas Mills ,12140.888888888889,2,20406.222222222223,-8265.333333333334
1562,Textile and Fabric Finishing Mills ,22931.0,2,31996.590909090908,-9065.590909090908
1563,Theater Companies and Dinner Theaters ,6440.90625,2,21559.625,-15118.71875
1564,Tile and Terrazzo Contractors,15420.0,2,31827.125,-16407.125
1565,Tire Dealers ,18623.936842105264,2,31163.157894736843,-12539.22105263158
1566,Tire Mfg (except Retreading) ,22640.340425531915,2,37864.59574468085,-15224.255319148939
1567,Tire and Tube Merchant Wholesalers ,18501.821428571428,2,35487.857142857145,-16986.035714285717
1568,Title Abstract and Settlement Offices ,16215.588235294117,2,44781.0,-28565.41176470588
1569,Tobacco Product and Electronic Cigarette Merchant ...,21904.904761904763,2,36254.71428571428,-14349.80952380952
1570,"Tobacco, Electronic Cigarette, and Other Smoking S...",10059.935483870968,2,12085.548387096775,-2025.6129032258068
1571,Toilet Preparation Mfg,25011.84,2,41823.4,-16811.56
1572,Tortilla Mfg,18067.11111111111,2,29132.0,-11064.88888888889
1573,Totalizing Fluid Meter and Counting Device Mfg ,43264.666666666664,2,35613.666666666664,7651.0
1574,Tour Operators,18833.117647058825,2,21771.176470588234,-2938.058823529409
1575,Toy and Hobby Goods and Supplies Merchant Wholesal...,28291.0,2,34472.71428571428,-6181.714285714283
1576,Translation and Interpretation Services,41520.18518518518,2,50110.11111111111,-8589.925925925927
1577,Trans Equipment and Supplies (except Motor Vehicle...,41129.583333333336,2,53988.583333333336,-12859.0
1578,Travel Agencies,14573.864406779661,2,32811.254237288136,-18237.389830508473
1579,Travel Trailer and Camper Mfg ,14365.23076923077,2,22017.25641025641,-7652.025641025641
1580,Tree Nut Farming ,8914.0,2,21433.4,-12519.400000000001
1581,Truck Trailer Mfg ,14202.963855421687,2,29343.21686746988,-15140.253012048193
1582,"Truck, Utility Trailer, and RV (Recreational Vehic...",18272.87671232877,2,37328.67808219178,-19055.80136986301
1583,"Trust, Fiduciary, and Custody Activities ",41788.375,2,52526.625,-10738.25
1584,"Trusts, Estates, and Agency Accounts ",16110.57142857143,2,3719.0,12391.57142857143
1585,Unlaminated Plastics Film and Sheet (except Packag...,31284.933333333334,2,45164.73333333333,-13879.799999999996
1586,Unlaminated Plastics Profile Shape Mfg ,23815.153846153848,2,43481.46153846154,-19666.30769230769
1587,Upholstered Household Furniture Mfg ,21914.432432432433,2,31237.72972972973,-9323.297297297297
1588,Urethane and Other Foam Product (except Polystyren...,11058.875,2,29616.5,-18557.625
1589,Used Car Dealers ,20342.78918918919,2,35466.32432432433,-15123.535135135138
1590,Used Household and Office Goods Moving,12137.845238095239,2,22640.035714285714,-10502.190476190475
1591,Used Merchandise Retailers ,14828.016393442624,2,16375.196721311475,-1547.1803278688512
1592,Vending Machine Operators ,14077.452380952382,2,23354.85714285714,-9277.40476190476
1593,Veterinary Services ,15057.103773584906,2,22830.64150943396,-7773.537735849055
1594,Vocational Rehabilitation Services ,15119.831460674157,2,21824.955056179777,-6705.12359550562
1595,Voluntary Health Organizations ,22908.090909090908,2,48580.09090909091,-25672.000000000004
1596,Warehouse Clubs and Supercenters ,12444.743801652892,2,23571.752066115703,-11127.008264462811
1597,Warm Air Heating and Air-Conditioning Equipment an...,24472.0,2,38493.92592592593,-14021.925925925927
1598,Water Supply and Irrigation Systems ,18206.382352941175,2,29254.529411764706,-11048.147058823532
1599,Water and Sewer Line and Related Structures Const ,23490.7,2,40036.25,-16545.55
1600,Web Search Portals and All Other Information Servi...,20923.702127659573,2,46765.574468085106,-25841.872340425532
1601,Wholesale Agents and Brokers ,36128.04973118279,2,53270.10752688172,-17142.05779569893
1602,Window Treatment Retailers ,21782.8,2,40956.0,-19173.2
1603,Wine and Distilled Alcoholic Beverage Merchant Who...,23110.809523809523,2,39760.68253968254,-16649.873015873014
1604,Wired Telecommunications Carriers ,26850.28897338403,2,48140.334600760456,-21290.045627376425
1605,Wireless Telecommunications Carriers (except Satel...,26497.16964285714,2,44289.8125,-17792.64285714286
1606,Wood Container and Pallet Mfg,23352.353846153845,2,36382.50769230769,-13030.153846153848
1607,Wood Kitchen Cabinet and Countertop Mfg,15866.046153846153,2,27064.03076923077,-11197.984615384616
1608,Wood Office Furniture Mfg ,7765.4,2,25076.8,-17311.4
1609,Wood Preservation ,28726.625,2,34939.375,-6212.75
1610,Wood Window and Door Mfg ,19743.63157894737,2,33841.31578947369,-14097.684210526317
1611,Zoos and Botanical Gardens ,12888.555555555555,2,21081.333333333332,-8192.777777777777
1612,Adhesive Mfg,29874.76923076923,3,48952.38461538462,-19077.615384615387
1613,Administration of Air and Water Resource and Solid...,10519.4,3,20079.8,-9560.4
1614,Administration of Conservation Programs ,9071.12,3,16574.48,-7503.359999999999
1615,Administration of Education Programs ,63177.10526315789,3,30427.263157894737,32749.842105263157
1616,Administration of General Economic Programs ,23353.666666666668,3,26282.333333333332,-2928.6666666666642
1617,Administration of Housing Programs ,16306.464285714286,3,30565.321428571428,-14258.857142857141
1618,Administration of Human Resource Programs (except ...,15112.82191780822,3,28135.04109589041,-13022.21917808219
1619,Administration of Public Health Programs ,23441.22641509434,3,32662.5,-9221.273584905659
1620,Administration of Urban Planning and Community and...,21169.763157894737,3,36659.31578947369,-15489.55263157895
1621,Administration of Veterans' Affairs ,12131.363636363636,3,27823.363636363636,-15692.0
1622,Administrative Management and General Management C...,29467.625766871166,3,52853.920245398775,-23386.29447852761
1623,Advertising Agencies,23101.91176470588,3,54866.48529411765,-31764.57352941177
1624,Advertising Material Distribution Services,24074.333333333332,3,21287.333333333332,2787.0
1625,"Agents and Managers for Artists, Athletes, Enterta...",13277.76923076923,3,28650.384615384617,-15372.615384615387
1626,Air Traffic Control,20596.55769230769,3,26408.75,-5812.1923076923085
1627,Air-Conditioning and Warm Air Heating Equipment an...,20995.991379310344,3,37748.637931034486,-16752.64655172414
1628,Aircraft Engine and Engine Parts Mfg ,21291.38775510204,3,43690.448979591834,-22399.061224489793
1629,Aircraft Mfg ,26117.078125,3,58701.78125,-32584.703125
1630,All Other Amusement and Recreation Industries ,13339.047619047618,3,23350.73015873016,-10011.68253968254
1631,All Other Automotive Repair and Maintenance ,20492.75,3,31232.5,-10739.75
1632,All Other Basic Organic Chemical Mfg ,14575.75,3,63554.0,-48978.25
1633,All Other Business Support Services ,17593.533333333333,3,42797.933333333334,-25204.4
1634,All Other Consumer Goods Rental ,11374.76,3,30680.28,-19305.519999999997
1635,All Other Converted Paper Product Mfg ,8466.875,3,34644.125,-26177.25
1636,All Other General Merchandise Retailers ,9988.624864864865,3,17367.142702702702,-7378.517837837837
1637,All Other Health and Personal Care Retailers ,13777.111111111111,3,32178.222222222223,-18401.11111111111
1638,All Other Home Furnishings Retailers ,14618.452380952382,3,23778.39285714286,-9159.940476190477
1639,All Other Industrial Machinery Mfg ,31363.28125,3,59881.90625,-28518.625
1640,All Other Insurance Related Activities ,23453.280487804877,3,34356.21951219512,-10902.939024390245
1641,All Other Legal Services ,22496.894736842107,3,27956.473684210527,-5459.57894736842
1642,All Other Miscellaneous Ambulatory Health Services...,13905.911764705883,3,29870.45588235294,-15964.544117647058
1643,All Other Miscellaneous Chemical Product and Prepa...,36517.608695652176,3,60506.565217391304,-23988.95652173913
1644,All Other Miscellaneous Electrical Equipment and C...,35884.333333333336,3,34929.0,955.3333333333358
1645,All Other Miscellaneous Fabricated Metal Product M...,28730.222222222223,3,42246.833333333336,-13516.611111111113
1646,All Other Miscellaneous Food Mfg ,25398.4,3,37007.333333333336,-11608.933333333334
1647,All Other Miscellaneous General Purpose Machinery ...,57351.857142857145,3,77530.71428571429,-20178.857142857145
1648,All Other Miscellaneous Mfg ,23423.206896551725,3,41273.24137931035,-17850.034482758623
1649,All Other Miscellaneous Nonmetallic Mineral Produc...,25096.75,3,45464.75,-20368.0
1650,All Other Miscellaneous Retailers ,16063.586538461539,3,29467.43269230769,-13403.846153846152
1651,All Other Miscellaneous Schools and Instruction ,24432.9,3,57482.6,-33049.7
1652,All Other Miscellaneous Textile Product Mills ,13812.625,3,27118.958333333332,-13306.333333333332
1653,All Other Miscellaneous Waste Management Services ,15248.7,3,57846.65,-42597.95
1654,All Other Miscellaneous Wood Product Mfg ,22406.846153846152,3,33221.230769230766,-10814.384615384613
1655,All Other Outpatient Care Centers ,13499.681818181818,3,27240.075757575756,-13740.393939393938
1656,All Other Personal Services ,13599.867924528302,3,26925.88679245283,-13326.01886792453
1657,All Other Plastics Product Mfg ,24512.22602739726,3,41968.109589041094,-17455.883561643834
1658,"All Other Professional, Scientific, and Technical ...",22766.92700729927,3,45348.2700729927,-22581.343065693432
1659,All Other Publishers ,45239.217391304344,3,70527.78260869565,-25288.565217391304
1660,All Other Rubber Product Mfg ,15840.1,3,40884.6,-25044.5
1661,All Other Specialty Food Retailers ,1785.2142857142858,3,19226.071428571428,-17440.85714285714
1662,All Other Specialty Trade Contractors,21084.916666666668,3,36648.65625,-15563.739583333332
1663,All Other Support Activities for Trans ,15446.42857142857,3,34068.07142857143,-18621.642857142855
1664,All Other Support Services,10966.251184834124,3,21657.90047393365,-10691.649289099525
1665,All Other Telecommunications ,29883.674157303372,3,48584.67415730337,-18701.0
1666,All Other Transit and Ground Passenger Trans ,10472.775,3,18297.925,-7825.15
1667,All Other Trans Equipment Mfg ,24448.657894736843,3,40493.21052631579,-16044.552631578943
1668,All Other Travel Arrangement and Reservation Servi...,12192.564102564103,3,26980.55128205128,-14787.987179487178
1669,All Other Traveler Accommodation ,6292.952380952381,3,21705.095238095237,-15412.142857142855
1670,Alumina Refining and Primary Aluminum Production ,6916.0,3,21675.666666666668,-14759.666666666668
1671,"Aluminum Sheet, Plate, and Foil Mfg ",24516.428571428572,3,55843.42857142857,-31327.0
1672,Ambulance Services ,15286.815217391304,3,26858.815217391304,-11572.0
1673,Ammunition (except Small Arms) Mfg ,16442.375,3,51864.75,-35422.375
1674,Amusement Arcades,13036.708333333334,3,20400.166666666668,-7363.458333333334
1675,Amusement and Theme Parks ,7663.342857142857,3,15720.742857142857,-8057.400000000001
1676,Animal (except Poultry) Slaughtering ,15299.028846153846,3,29990.64423076923,-14691.615384615385
1677,Apiculture,10539.75,3,17497.25,-6957.5
1678,Apparel Knitting Mills,18517.0,3,31880.03846153846,-13363.038461538461
1679,Appliance Repair and Maintenance ,13657.0,3,26123.6,-12466.599999999999
1680,Apprenticeship Training ,59594.0,3,47408.666666666664,12185.333333333336
1681,Architectural Services,29888.128205128207,3,54994.5641025641,-25106.435897435895
1682,Armored Car Services ,12459.76923076923,3,29641.26923076923,-17181.5
1683,Art Dealers ,10318.75,3,209079.25,-198760.5
1684,Artificial and Synthetic Fibers and Filaments Mfg,16876.8,3,35679.46666666667,-18802.666666666668
1685,Asphalt Paving Mixture and Block Mfg ,12896.75,3,34742.0,-21845.25
1686,Asphalt Shingle and Coating Materials Mfg ,48332.6,3,64747.8,-16415.200000000004
1687,Assisted Living Facilities for the Elderly ,11771.461538461539,3,22921.2024291498,-11149.74089068826
1688,Automatic Environmental Control Mfg for Residentia...,27843.75,3,59162.25,-31318.5
1689,Automobile Driving Schools ,6935.166666666667,3,24564.166666666668,-17629.0
1690,Automobile and Light Duty Motor Vehicle Mfg ,23997.581818181818,3,42669.69090909091,-18672.109090909093
1691,Automobile and Other Motor Vehicle Merchant Wholes...,33521.086956521736,3,59853.20289855073,-26332.11594202899
1692,"Automotive Body, Paint, and Interior Repair and Ma...",14815.615384615385,3,31156.871794871793,-16341.256410256408
1693,Automotive Glass Replacement Shops ,11250.111111111111,3,30048.833333333332,-18798.72222222222
1694,Automotive Oil Change and Lubrication Shops ,13980.581395348838,3,31080.53488372093,-17099.95348837209
1695,Automotive Parts and Accessories Retailers ,11571.6091954023,3,21714.46743295019,-10142.85823754789
1696,Ball and Roller Bearing Mfg,22317.18181818182,3,45601.36363636364,-23284.18181818182
1697,Barber Shops ,13670.454545454546,3,22284.454545454544,-8613.999999999998
1698,Battery Mfg ,21773.803418803418,3,43080.94871794872,-21307.1452991453
1699,Beauty Salons ,9695.694444444445,3,16595.847222222223,-6900.152777777777
1700,Beer and Ale Merchant Wholesalers ,17363.571428571428,3,30934.47619047619,-13570.904761904763
1701,"Beer, Wine, and Liquor Retailers ",8690.848484848484,3,16028.69696969697,-7337.848484848486
1702,Berry (except Strawberry) Farming ,15913.0,3,17954.166666666668,-2041.1666666666679
1703,Biological Product (except Diagnostic) Mfg ,11677.857142857143,3,13861.42857142857,-2183.5714285714275
1704,Blood and Organ Banks ,12940.955056179775,3,25524.370786516854,-12583.41573033708
1705,Boat Building ,16516.027777777777,3,27931.777777777777,-11415.75
1706,"Bolt, Nut, Screw, Rivet, and Washer Mfg ",20758.4,3,72360.8,-51602.4
1707,Book Publishers ,37120.27272727273,3,53778.545454545456,-16658.272727272728
1708,Book Retailers and News Dealers ,9912.076923076924,3,16274.615384615385,-6362.538461538461
1709,"Book, Periodical, and Newspaper Merchant Wholesale...",12446.181818181818,3,23682.090909090908,-11235.90909090909
1710,Bottled Water Mfg ,18561.6,3,34696.65,-16135.050000000003
1711,Bowling Centers,5959.173913043478,3,17546.521739130436,-11587.347826086958
1712,Breakfast Cereal Mfg,32521.555555555555,3,52562.5,-20040.944444444445
1713,Breweries,24536.783783783783,3,50542.0,-26005.216216216217
1714,"Brick, Stone, and Related Const Material Merchant ...",18058.162162162163,3,35913.10810810811,-17854.945945945943
1715,Broadwoven Fabric Mills,12730.5,3,31977.0,-19246.5
1716,Broilers and Other Meat Type Chicken Production ,18407.0,3,32934.3,-14527.300000000003
1717,Building Inspection Services,16773.88888888889,3,34753.22222222222,-17979.33333333333
1718,Bus and Other Motor Vehicle Transit Systems ,15335.74074074074,3,33002.07407407407,-17666.333333333332
1719,Business Associations ,18236.846153846152,3,45147.42307692308,-26910.576923076926
1720,"Cafeterias, Grill Buffets, and Buffets ",7359.0641025641025,3,15637.602564102564,-8278.538461538461
1721,Cane Sugar Mfg ,15651.75,3,34593.0,-18941.25
1722,"Capacitor, Resistor, Coil, Transformer, and Other ...",21724.6,3,37327.2,-15602.599999999999
1723,Car Washes ,13614.815384615385,3,26323.523076923077,-12708.707692307691
1724,Carpet and Rug Mills,16422.573913043478,3,36951.556521739134,-20528.982608695656
1725,Carpet and Upholstery Cleaning Services,11067.818181818182,3,17974.909090909092,-6907.09090909091
1726,Casino Hotels,7990.285714285715,3,27675.714285714286,-19685.428571428572
1727,Casinos (except Casino Hotels),6954.0,3,22107.333333333332,-15153.333333333332
1728,Caterers,8694.844262295082,3,21623.79508196721,-12928.950819672129
1729,Cement Mfg,19112.0,3,47350.857142857145,-28238.857142857145
1730,Cemeteries and Crematories ,6612.857142857143,3,22909.0,-16296.142857142857
1731,Charter Bus Industry,11570.5,3,31104.9,-19534.4
1732,Cheese Mfg ,21384.6,3,20609.8,774.7999999999993
1733,Chicken Egg Production ,15320.285714285714,3,27866.0,-12545.714285714286
1734,Child Care Services ,9822.846026490066,3,19484.110927152316,-9661.26490066225
1735,Child and Youth Services ,17486.904109589042,3,27141.27397260274,-9654.369863013697
1736,Civic and Social Organizations ,11553.876404494382,3,22087.123595505618,-10533.247191011236
1737,Claims Adjusting ,43784.74025974026,3,68962.61688311688,-25177.876623376615
1738,Clay Building Material and Refractories Mfg ,13068.434782608696,3,26703.0,-13634.565217391304
1739,Clothing and Clothing Accessories Merchant Wholesa...,12846.413793103447,3,23562.724137931036,-10716.310344827589
1740,Clothing and Clothing Accessories Retailers ,10312.200421940928,3,19782.26371308017,-9470.063291139242
1741,Coal and Other Mineral and Ore Merchant Wholesaler...,3520.5,3,24112.75,-20592.25
1742,Coastal and Great Lakes Passenger Trans ,7437.333333333333,3,21776.666666666668,-14339.333333333336
1743,Coffee and Tea Mfg ,28036.583333333332,3,56112.25,-28075.666666666668
1744,Coin-Operated Laundries and Drycleaners ,7511.8125,3,19206.125,-11694.3125
